Data da Venda,ID do Cliente,Produto,Categoria,Tipo de Pet,Quantidade,Preço Unitário,Valor Total
2019-04-22,C0188,Gaiola Pequena,Acessórios,Pássaro,1,85.0,85.0
2019-04-23,C0137,Alpiste,Ração,Pássaro,4,10.0,40.0
2019-04-23,C0075,Ração Premium,Ração,Cachorro,1,120.0,120.0
2019-04-23,C0018,Brinquedo Bola,Brinquedo,Cachorro,1,25.0,25.0
2019-04-24,C0461,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-04-24,C0203,Alpiste,Ração,Pássaro,2,10.0,20.0
2019-04-24,C0205,Ração Econômica,Ração,Cachorro,2,70.0,140.0
2019-04-25,C0500,Arranhador,Brinquedo,Gato,3,60.0,180.0
2019-04-25,C0158,Ração Premium,Ração,Gato,1,120.0,120.0
2019-04-25,C0432,Comida para Peixe,Ração,Peixe,1,15.0,15.0
2019-04-25,C0336,Coleira,Acessórios,Gato,3,35.0,105.0
2019-04-26,C0274,Aquário Pequeno,Acessórios,Peixe,3,150.0,450.0
2019-04-26,C0427,Ração Premium,Ração,Gato,3,120.0,360.0
2019-04-26,C0025,Gaiola Pequena,Acessórios,Pássaro,2,85.0,170.0
2019-04-26,C0422,Areia Higiênica,Higiene,Gato,3,22.0,66.0
2019-04-26,C0032,Ração Econômica,Ração,Cachorro,2,70.0,140.0
2019-04-27,C0217,Ração Econômica,Ração,Cachorro,2,70.0,140.0
2019-04-28,C0436,Alpiste,Ração,Pássaro,3,10.0,30.0
2019-04-28,C0313,Arranhador,Brinquedo,Gato,4,60.0,240.0
2019-04-28,C0420,Ração Econômica,Ração,Cachorro,4,70.0,280.0
2019-04-28,C0108,Gaiola Pequena,Acessórios,Pássaro,3,85.0,255.0
2019-04-29,C0438,Comida para Peixe,Ração,Peixe,3,15.0,45.0
2019-04-29,C0190,Comedouro,Acessórios,Gato,4,20.0,80.0
2019-04-30,C0347,Comedouro,Acessórios,Gato,2,20.0,40.0
2019-04-30,C0283,Ração Premium,Ração,Gato,3,120.0,360.0
2019-05-01,C0111,Shampoo Pet,Higiene,Gato,1,30.0,30.0
2019-05-02,C0162,Coleira,Acessórios,Cachorro,3,35.0,105.0
2019-05-02,C0233,Aquário Pequeno,Acessórios,Peixe,1,150.0,150.0
2019-05-04,C0040,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-05-04,C0478,Comedouro,Acessórios,Gato,2,20.0,40.0
2019-05-04,C0150,Areia Higiênica,Higiene,Gato,2,22.0,44.0
2019-05-06,C0096,Gaiola Pequena,Acessórios,Pássaro,1,85.0,85.0
2019-05-06,C0284,Antipulgas,Remédio,Gato,1,65.0,65.0
2019-05-06,C0326,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-05-07,C0329,Ração Premium,Ração,Cachorro,2,120.0,240.0
2019-05-08,C0121,Brinquedo Bola,Brinquedo,Cachorro,2,25.0,50.0
2019-05-08,C0049,Arranhador,Brinquedo,Gato,1,60.0,60.0
2019-05-08,C0405,Areia Higiênica,Higiene,Gato,1,22.0,22.0
2019-05-09,C0478,Coleira,Acessórios,Gato,1,35.0,35.0
2019-05-10,C0127,Ração Econômica,Ração,Cachorro,1,70.0,70.0
2019-05-10,C0174,Shampoo Pet,Higiene,Gato,4,30.0,120.0
2019-05-11,C0043,Shampoo Pet,Higiene,Cachorro,3,30.0,90.0
2019-05-12,C0196,Antipulgas,Remédio,Gato,3,65.0,195.0
2019-05-12,C0275,Coleira,Acessórios,Gato,2,35.0,70.0
2019-05-12,C0080,Comedouro,Acessórios,Gato,3,20.0,60.0
2019-05-12,C0309,Coleira,Acessórios,Gato,1,35.0,35.0
2019-05-12,C0257,Brinquedo Bola,Brinquedo,Cachorro,3,25.0,75.0
2019-05-13,C0193,Aquário Pequeno,Acessórios,Peixe,2,150.0,300.0
2019-05-14,C0157,Brinquedo Bola,Brinquedo,Cachorro,4,25.0,100.0
2019-05-15,C0169,Ração Premium,Ração,Gato,2,120.0,240.0
2019-05-15,C0178,Coleira,Acessórios,Gato,1,35.0,35.0
2019-05-15,C0393,Ração Premium,Ração,Gato,4,120.0,480.0
2019-05-16,C0026,Comedouro,Acessórios,Gato,1,20.0,20.0
2019-05-17,C0182,Comida para Peixe,Ração,Peixe,2,15.0,30.0
2019-05-17,C0144,Ração Premium,Ração,Cachorro,4,120.0,480.0
